codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0009,0014,0019,0020,0026,0030,0036,0037,0038,0044,0045,0050,0132,0134,0136,0154,0189,0190,0191,0192
21,Caseros                                 ,002,0375 ,0122,450,56,0,10,49,1,1,25,0,4,0,0,1,0,1,110,0,88,3,0,13,1,1,0
21,Caseros                                 ,002,0375 ,0123,147,18,0,5,13,1,0,10,0,2,0,0,0,0,0,40,0,29,1,0,6,0,0,0
21,Caseros                                 ,002,0375A,0118,71,13,0,5,2,0,1,8,0,1,0,0,1,0,0,6,0,19,0,0,0,0,0,1
21,Caseros                                 ,002,0375A,0124,57,9,0,3,0,0,0,3,0,1,0,0,1,0,0,11,0,16,0,0,1,0,0,0
21,Caseros                                 ,002,0376 ,0119,450,51,4,23,17,2,0,20,0,2,0,3,0,1,0,142,0,106,1,0,12,2,1,0
21,Caseros                                 ,002,0376 ,0120,365,40,0,11,5,1,0,13,0,1,0,0,0,1,0,104,0,82,3,0,25,1,1,0
21,Caseros                                 ,002,0376 ,0125,450,37,4,36,10,2,1,16,0,3,0,0,1,0,2,152,0,109,2,0,7,1,0,0
21,Caseros                                 ,002,0376 ,0126,380,26,0,11,20,0,0,16,1,3,0,1,0,0,0,124,0,97,0,1,9,1,0,1
21,Castellanos                             ,003,0111 ,0121,104,10,0,18,8,0,0,3,0,0,0,1,1,0,0,16,0,18,1,0,7,1,0,0
21,Castellanos                             ,003,0111 ,0127,85,5,0,12,9,0,0,2,0,0,1,0,0,0,0,15,1,15,1,0,3,0,0,0
21,Castellanos                             ,003,0112 ,0122,93,12,0,10,3,0,0,4,0,1,0,0,0,0,0,12,0,24,1,0,11,0,0,0
21,Castellanos                             ,003,0112 ,0128,70,3,0,5,6,0,0,1,1,2,0,1,0,0,0,15,0,19,0,0,0,0,0,0
21,Castellanos                             ,003,0113 ,0123,165,2,1,11,33,1,0,8,0,2,0,0,1,0,0,18,1,21,3,0,10,1,0,0
21,Castellanos                             ,003,0113 ,0129,104,2,0,11,13,0,0,5,1,0,0,0,1,0,0,15,0,15,0,0,7,0,0,0
21,Castellanos                             ,003,0114 ,0124,98,5,0,4,9,0,0,5,3,0,10,0,0,0,0,5,0,26,1,0,6,0,0,0
21,Castellanos                             ,003,0114 ,0130,93,1,0,1,10,0,0,2,0,0,6,0,0,0,0,10,0,31,0,0,6,0,0,0
21,Castellanos                             ,003,0115 ,0125,450,35,0,53,33,1,0,16,0,1,0,2,0,1,0,52,5,132,5,0,19,3,1,1
21,Castellanos                             ,003,0115 ,0126,160,7,0,13,15,1,0,3,0,0,2,0,0,0,0,16,0,55,1,0,13,0,0,3
21,Castellanos                             ,003,0115 ,0131,450,59,0,43,43,1,1,15,2,0,1,1,0,0,1,62,3,129,6,0,9,0,0,0
